2025,,
01.01.2025,Mittwoch,Neujahr
02.01.2025,Donnerstag,Berchtoldstag
06.01.2025,Montag ,Heilige Drei Könige (München und Stuttgart geschlossen / Berlin und Frankfurt geöffnet) 
18.04.2025,Freitag ,Karfreitag
21.04.2025,Montag ,Ostermontag
01.05.2025,Donnerstag,Internationaler Tag der Arbeit
08.05.2025,Donnerstag,"80. Jahrestag der Befreiung vom Nationalsozialismus (Berlin geschlossen / Frankfurt, München und Stuttgart geöffnet)"
29.05.2025,Donnerstag,Auffahrt
09.06.2025,Montag ,Pfingstmontag
19.06.2025,Donnerstag ,"Fronleichnam (München, Frankfurt und Stuttgart geschlossen / Berlin geöffnet) "
01.08.2025,Freitag,Bundesfeiertag
15.08.2025,Freitag,Maria Himmelfahrt (München geschlossen / Stuttgart Frankfurt und Berlin geöffnet)
03.10.2025,Freitag,Tag der Deutschen Einheit
24.12.2025,Mittwoch,Vortag Weihnachten
25.12.2025,Donnerstag,Weihnachten
26.12.2025,Freitag,Stephanstag
31.12.2025,Mittwoch ,Silvester
