Tag,Restaurant,Terrasse,Datum,Monat,is_fr_sa,Ferien-Value,Special-Day-Value,Niederschlag Tagessumme 6 UTC,Sonnenscheindauer Tagessumme,Lufttemperatur 2m Tagesmittel,Durchschnittliche Anzahl Geburtstage (über 100 Jahre),Tagesumsatz Restaurant
Fr,1620.2,0.0,2021-01-01,Januar,1,1.0,1.0,0.6,0.0,1.7,6852.12,1620.2
Sa,872.9,0.0,2021-01-02,Januar,1,1.0,0.0,0.0,0.0,1.5,6852.12,872.9
So,0.0,0.0,2021-01-03,Januar,0,1.0,0.0,0.0,0.0,0.5,6852.12,0.0
Mo,636.2,0.0,2021-01-04,Januar,0,1.0,0.0,0.0,0.0,0.1,6852.12,636.2
Di,694.5,0.0,2021-01-05,Januar,0,1.0,0.0,0.0,0.0,-0.2,6852.12,694.5
Mi,378.3,0.0,2021-01-06,Januar,0,1.0,0.0,0.6,0.0,-0.3,6852.12,378.3
Do,388.4,0.0,2021-01-07,Januar,0,0.8571428571428571,0.0,0.1,284.0,0.3,6852.12,388.4
Fr,1768.3,0.0,2021-01-08,Januar,1,0.8571428571428571,0.0,0.0,280.0,-0.1,6852.12,1768.3
Sa,1673.1,0.0,2021-01-09,Januar,1,0.0,0.0,0.0,214.0,-2.4,6852.12,1673.1
So,0.0,0.0,2021-01-10,Januar,0,0.0,0.0,0.0,76.0,-1.7,6852.12,0.0
Mo,184.1,0.0,2021-01-11,Januar,0,0.0,0.0,0.0,218.0,-2.7,6852.12,184.1
Di,248.7,0.0,2021-01-12,Januar,0,0.0,0.0,4.4,0.0,-0.4,6852.12,248.7
Mi,824.0,0.0,2021-01-13,Januar,0,0.0,0.0,10.5,0.0,3.3,6852.12,824.0
Do,76.9,0.0,2021-01-14,Januar,0,0.0,0.0,28.9,0.0,3.1,6852.12,76.9
Fr,243.9,0.0,2021-01-15,Januar,1,0.0,0.0,8.4,0.0,-1.0,6852.12,243.9
Sa,1049.3,0.0,2021-01-16,Januar,1,0.0,0.0,0.8,0.0,-3.4,6852.12,1049.3
So,114.7,0.0,2021-01-17,Januar,0,0.0,0.0,6.0,0.0,0.5,6852.12,114.7
Mo,831.1,0.0,2021-01-18,Januar,0,0.0,0.0,0.0,0.0,0.8,6852.12,831.1
Di,464.1,0.0,2021-01-19,Januar,0,0.0,0.0,0.0,293.0,-1.4,6852.12,464.1
Mi,85.7,0.0,2021-01-20,Januar,0,0.0,0.0,0.0,106.0,-0.2,6852.12,85.7
Do,123.2,0.0,2021-01-21,Januar,0,0.0,0.0,0.0,73.0,3.7,6852.12,123.2
Fr,123.2,0.0,2021-01-22,Januar,1,0.0,0.0,5.2,221.0,5.8,6852.12,123.2
Sa,2673.2,0.0,2021-01-23,Januar,1,0.0,0.0,1.1,72.0,2.6,6852.12,2673.2
So,38.233333333333334,0.0,2021-01-24,Januar,0,0.0,0.0,3.4,405.0,1.6,6852.12,38.233333333333334
Mo,641.0,0.0,2021-01-25,Januar,0,0.0,0.0,2.5,61.0,0.7,6852.12,641.0
Di,200.3,0.0,2021-01-26,Januar,0,0.0,0.0,0.0,100.0,0.3,6852.12,200.3
Mi,712.1,0.0,2021-01-27,Januar,0,0.0,0.0,18.8,0.0,-0.8,6852.12,712.1
Do,670.0,0.0,2021-01-28,Januar,0,0.0,0.0,6.9,3.0,5.8,6852.12,670.0
Fr,774.0,0.0,2021-01-29,Januar,1,0.0,0.0,8.3,116.0,8.2,6852.12,774.0
Sa,1863.1,0.0,2021-01-30,Januar,1,0.0,0.0,11.0,0.0,5.3,6852.12,1863.1
So,38.233333333333334,0.0,2021-01-31,Januar,0,0.0,0.0,1.4,17.0,5.7,6852.12,38.233333333333334
Mo,93.8,0.0,2021-02-01,Februar,0,0.0,0.0,5.0,0.0,5.8,6590.24,93.8
Di,205.4,0.0,2021-02-02,Februar,0,0.0,0.0,1.0,0.0,6.8,6590.24,205.4
Mi,0.0,0.0,2021-02-03,Februar,0,0.0,0.0,15.9,7.0,8.5,6590.24,0.0
Do,1411.0,0.0,2021-02-04,Februar,0,0.0,0.0,0.0,68.0,6.1,6590.24,1411.0
Fr,1680.9,0.0,2021-02-05,Februar,1,0.0,0.0,0.0,288.0,6.1,6590.24,1680.9
Sa,2955.6,0.0,2021-02-06,Februar,1,0.5428571428571428,0.0,0.0,0.0,5.1,6590.24,2955.6
So,30.0,0.0,2021-02-07,Februar,0,0.5428571428571428,0.0,5.2,0.0,4.3,6590.24,30.0
Mo,0.0,0.0,2021-02-08,Februar,0,0.5428571428571428,0.0,1.3,338.0,2.9,6590.24,0.0
Di,0.0,0.0,2021-02-09,Februar,0,0.5428571428571428,0.0,2.0,0.0,0.7,6590.24,0.0
Mi,0.0,0.0,2021-02-10,Februar,0,0.5428571428571428,0.0,11.6,0.0,0.3,6590.24,0.0
Do,0.0,0.0,2021-02-11,Februar,0,0.5714285714285714,0.0,0.2,0.0,-5.5,6590.24,0.0
Fr,0.0,0.0,2021-02-12,Februar,1,0.5714285714285714,0.0,0.0,0.0,-6.0,6590.24,0.0
Sa,0.0,0.0,2021-02-13,Februar,1,0.5714285714285714,0.0,0.0,0.0,-6.3,6590.24,0.0
So,0.0,0.0,2021-02-14,Februar,0,0.5714285714285714,1.0,0.0,298.0,-5.6,6590.24,0.0
Mo,0.0,0.0,2021-02-15,Februar,0,0.5714285714285714,0.0,1.2,47.0,-1.2,6590.24,0.0
Di,0.0,0.0,2021-02-16,Februar,0,0.5714285714285714,0.0,6.2,224.0,4.0,6590.24,0.0
Mi,0.0,0.0,2021-02-17,Februar,0,0.5714285714285714,0.0,0.0,316.0,5.9,6590.24,0.0
Do,0.0,0.0,2021-02-18,Februar,0,0.5714285714285714,0.0,0.0,292.0,4.0,6590.24,0.0
Fr,0.0,0.0,2021-02-19,Februar,1,0.5714285714285714,0.0,0.0,376.0,6.9,6590.24,0.0
Sa,0.0,0.0,2021-02-20,Februar,1,0.5714285714285714,0.0,0.0,559.0,6.0,6590.24,0.0
So,0.0,0.0,2021-02-21,Februar,0,0.5714285714285714,0.0,0.0,567.0,5.8,6590.24,0.0
Mo,0.0,0.0,2021-02-22,Februar,0,0.0,0.0,0.0,286.0,5.8,6590.24,0.0
Di,0.0,0.0,2021-02-23,Februar,0,0.0,0.0,0.0,501.0,7.1,6590.24,0.0
Mi,0.0,0.0,2021-02-24,Februar,0,0.0,0.0,0.0,516.0,8.0,6590.24,0.0
Do,0.0,0.0,2021-02-25,Februar,0,0.0,0.0,0.0,576.0,7.9,6590.24,0.0
Fr,0.0,0.0,2021-02-26,Februar,1,0.0,0.0,0.0,344.0,9.2,6590.24,0.0
Sa,0.0,0.0,2021-02-27,Februar,1,0.14285714285714285,0.0,0.0,0.0,6.0,6590.24,0.0
So,0.0,0.0,2021-02-28,Februar,0,0.14285714285714285,0.0,0.0,66.0,3.1,6590.24,0.0
Mo,0.0,0.0,2021-03-01,März,0,0.14285714285714285,0.0,0.0,318.0,2.6,7288.88,0.0
Di,0.0,0.0,2021-03-02,März,0,0.14285714285714285,0.0,0.0,599.0,4.9,7288.88,0.0
Mi,0.0,0.0,2021-03-03,März,0,0.14285714285714285,0.0,0.0,0.0,5.0,7288.88,0.0
Do,0.0,0.0,2021-03-04,März,0,0.14285714285714285,0.0,6.4,94.0,7.9,7288.88,0.0
Fr,1655.5,0.0,2021-03-05,März,1,0.14285714285714285,0.0,4.3,0.0,4.9,7288.88,1655.5
Sa,3281.2,0.0,2021-03-06,März,1,0.14285714285714285,0.0,0.0,0.0,2.5,7288.88,3281.2
So,7.5,0.0,2021-03-07,März,0,0.14285714285714285,0.0,3.3,90.0,4.0,7288.88,7.5
Mo,416.7,0.0,2021-03-08,März,0,0.0,0.0,0.0,144.0,5.6,7288.88,416.7
