"Datum";"Ende";"Bezeichnung";"Bemerkungen";
"23.12.2023";"07.01.2024";"Weihnachtsferien";
"03.02.2024";"18.02.2024";"Fasnachtsferien";
"29.03.2024";"14.04.2024";"Fr�hlingsferien";
"09.05.2024";"12.05.2024";"Auffahrtsferien";
"20.05.2024";"20.05.2024";"Pfingstmontag";
"30.05.2024";"02.06.2024";"Fronleichnam";
"06.07.2024";"18.08.2024";"Sommerferien";
"28.09.2024";"13.10.2024";"Herbstferien";
"01.11.2024";"01.11.2024";"Allerheiligen";
"21.12.2024";"05.01.2025";"Weihnachtsferien";
"22.02.2025";"09.03.2025";"Fasnachtsferien";
"18.04.2025";"04.05.2025";"Fr�hlingsferien";
"29.05.2025";"01.06.2025";"Auffahrtsferien";
"09.06.2025";"09.06.2025";"Pfingstmontag";
"19.06.2025";"22.06.2025";"Fronleichnam";
"05.07.2025";"17.08.2025";"Sommerferien";
"27.09.2025";"12.10.2025";"Herbstferien";
"20.12.2025";"04.01.2026";"Weihnachtsferien";
"07.02.2026";"22.02.2026";"Fasnachtsferien";
"03.04.2026";"19.04.2026";"Fr�hlingsferien";
"14.05.2026";"17.05.2026";"Auffahrtsferien";
"25.05.2026";"25.05.2026";"Pfingstmontag";
"04.06.2026";"07.06.2026";"Fronleichnam";
"04.07.2026";"16.08.2026";"Sommerferien";
"26.09.2026";"11.10.2026";"Herbstferien";
"19.12.2026";"03.01.2027";"Weihnachtsferien";
