station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0;rreetsd0;tso005d0;tso010d0;tso020d0
LUZ;01.01.2025 00:00;-1.2;3.7;-3.5;-1.9;7.7;-6.3;91.6;5.1;972.3;1029.1;;;1026.4;0.9;3.5;3.2;12.6;3.3;11.9;0;0;0;0;68;258;;;;268;68;0.1;0;217;21.2;13.2;-0.1;;;
LUZ;02.01.2025 00:00;2;8.8;-2.7;0.6;6.7;-6.2;86;6.1;962.9;1018.5;;;1016.6;1.7;14.5;6.1;52.2;14.3;51.5;0;20.8;20.5;0;31;300;;;;18;5;0.5;0;297;18;10;20.5;;;
LUZ;03.01.2025 00:00;0.5;1.3;-1;-0.6;2.1;-4.6;89;5.6;967.9;1024.1;;;1021.8;1.1;4.5;4;16.2;4.4;15.8;0;0;0.3;0;26;292;;;;3;1;0.3;0;354;19.5;11.5;0.3;;;
LUZ;04.01.2025 00:00;-1;0.2;-2.3;-1;5.1;-3.9;80.3;4.6;965;1021.3;;;1018.8;1;5.1;3.6;18.4;5.1;18.4;0;8.1;3.4;0;41;287;;;;54;14;0.2;0;329;21;13;3.3;;;
LUZ;05.01.2025 00:00;2.9;7.7;0;1.9;12.4;-1.9;93;7;953.5;1008.3;;;1006.8;0.8;2.9;2.9;10.4;2.8;10.1;0;0.1;4.8;0;48;303;;;;93;23;0.2;0;225;17.1;9.1;4.8;;;
LUZ;06.01.2025 00:00;5.7;9.9;0.9;3.6;12;-2.3;84;7.6;947.9;1001.8;;;1000.9;1.9;16.2;6.8;58.3;15.1;54.4;0;5.5;5.5;0;38;309;;;;45;11;0.5;0;263;14.3;6.3;5.5;;;
LUZ;07.01.2025 00:00;4.4;8.6;0;1.6;13.3;-3.3;76.4;6.3;954.8;1009.4;;;1008.1;2.1;17.6;7.6;63.4;16.4;59;0;1.2;0;0;45;276;;;;160;39;0.6;0;257;15.6;7.6;-0.1;;;
LUZ;08.01.2025 00:00;5.2;8.6;1.8;3.6;9.2;-0.4;90.4;8.1;953.1;1007.4;;;1006.3;1.1;5.3;4;19.1;5.2;18.7;0;3.5;3.2;0;24;319;;;;8;2;0.4;0;236;14.8;6.8;3.2;;;
LUZ;09.01.2025 00:00;6.9;13.3;2.1;5.1;16.2;-0.7;78.8;7.9;953.7;1007.8;;;1007;3.2;25.3;11.5;91.1;24.3;87.5;0;6.3;7.8;0;46;307;;;;101;24;1;0;264;13.1;5.1;7.7;;;
LUZ;10.01.2025 00:00;1.4;3;-0.2;-0.1;2.6;-3.3;79.6;5.4;965.4;1021.3;;;1019.3;0.9;5.7;3.2;20.5;5.4;19.4;0;2.4;2.2;0;20;295;;;;0;0;0.4;0;0;18.6;10.6;2.2;;;
LUZ;11.01.2025 00:00;0.4;1.7;-1.9;-1.2;7.4;-6.6;78.2;4.9;969.6;1025.9;;;1023.6;1.2;5.1;4.3;18.4;4.9;17.6;0;0;0.2;0;40;274;;;;75;18;0.3;0;319;19.6;11.6;0.1;;;
LUZ;12.01.2025 00:00;-1.2;1.2;-4.1;-2.8;7;-7.7;71.1;4;979.6;1036.9;;;1034.1;1.4;6;5;21.6;5.8;20.9;0;0;0;0;63;246;;;;224;53;0.3;0;355;21.2;13.2;-0.2;;;
LUZ;13.01.2025 00:00;-2;-0.5;-3.7;-2.7;2.1;-8.4;71.6;3.8;981.3;1038.8;;;1035.8;1.7;7;6.1;25.2;6.7;24.1;0;0;0;0;36;268;;;;72;17;0.4;0;347;22;14;-0.1;;;
LUZ;14.01.2025 00:00;-2.4;-1.3;-3.2;-2.8;0;-6.5;79.9;4.1;978.9;1036.4;;;1033.4;1.2;4.8;4.3;17.3;4.7;16.9;0;0;0;0;18;284;;;;0;0;0.4;0;330;22.4;14.4;0;;;
LUZ;15.01.2025 00:00;0.4;3.2;-2.7;0.4;9.9;-2.9;81.3;5.1;976.3;1033;;;1030.6;1.3;4.6;4.7;16.6;4.4;15.8;0;0;0;0;48;295;;;;104;24;0.3;0;354;19.6;11.6;-0.1;;;
LUZ;16.01.2025 00:00;2.1;3.4;1.1;1.5;7.7;0;76;5.4;977.9;1034.3;;;1032.2;1.1;5.2;4;18.7;5;18;0;0;0;0;31;306;;;;3;1;0.5;0;326;17.9;9.9;0;;;
LUZ;17.01.2025 00:00;1.3;2.4;0.2;1;4;-0.4;75.1;5.1;979;1035.6;;;1033.4;1.2;5.2;4.3;18.7;5.1;18.4;0;0;0;0;25;306;;;;0;0;0.5;0;360;18.7;10.7;0;;;
LUZ;18.01.2025 00:00;0;1.2;-0.7;0;3.4;-1.2;79.3;4.9;974.1;1030.7;;;1028.3;1.1;3.9;4;14;3.7;13.3;0;0;0;0;30;300;;;;0;0;0.4;0;346;20;12;0;;;
LUZ;19.01.2025 00:00;-0.8;0.6;-2.2;-1.8;3.3;-6.2;87.9;5.1;967.4;1023.8;;;1021.3;0.8;3.3;2.9;11.9;3.3;11.9;0;0;0;0;23;281;;;;0;0;0.3;0;333;20.8;12.8;0;;;
LUZ;20.01.2025 00:00;-0.6;2.5;-3;-0.6;8.8;-6.6;91.2;5.3;965.3;1021.6;;;1019.1;0.9;3.8;3.2;13.7;3.7;13.3;0;0;0;0;74;275;;;;218;50;0.2;0;22;20.6;12.6;-0.1;;;
LUZ;21.01.2025 00:00;0;1.6;-0.9;0.4;3.8;-1.8;94;5.7;963.5;1019.5;;;1017.2;0.8;3.2;2.9;11.5;3.1;11.2;0;0;0;0;31;309;;;;0;0;0.3;0;270;20;12;0;;;
LUZ;22.01.2025 00:00;0.5;3.7;-1.3;-0.4;5.5;-4.4;89;5.6;957;1012.6;;;1010.5;1;4.4;3.6;15.8;4.3;15.5;0;0;0;0;31;292;;;;4;1;0.4;0;342;19.5;11.5;0;;;
LUZ;23.01.2025 00:00;3.8;8.7;0.1;2.7;13.2;-3.5;87.5;7.1;958.3;1013.2;;;1011.8;1.4;8.7;5;31.3;8.5;30.6;0;5.2;5.2;0;56;301;;;;116;26;0.4;0;236;16.2;8.2;5.2;;;
LUZ;24.01.2025 00:00;4.5;9.6;0.4;2.7;17.6;-4;81.2;6.7;960.8;1015.8;;;1014.4;1.2;5.7;4.3;20.5;5.5;19.8;0;0;0;0;73;289;;;;183;41;0.5;0;217;15.5;7.5;-0.1;;;
LUZ;25.01.2025 00:00;7;15.2;1.7;4.8;23.1;-2.5;67.8;6.6;957.1;1011.3;;;1010.5;1.3;6;4.7;21.6;5.9;21.2;50;0.6;0;0;82;292;;;;313;69;0.8;0;270;13;5;-0.2;;;
LUZ;26.01.2025 00:00;7.1;10.3;4.1;6.1;16.2;0.2;64;6.4;957.5;1011.7;;;1011;2.7;20.7;9.7;74.5;20.2;72.7;0;0.5;0.6;0;94;293;;;;371;81;1;0;221;12.9;4.9;0.4;;;
LUZ;27.01.2025 00:00;6.7;9.8;4.6;5.9;14;2;84.7;8.3;950.6;1004.5;;;1003.8;2.1;12.4;7.6;44.6;12.2;43.9;0;41.6;27.2;0;36;331;;;;103;22;0.7;0;180;13.3;5.3;27.2;;;
LUZ;28.01.2025 00:00;5.3;7;3;3.8;7.8;-1.1;87.3;7.8;949.3;1003.4;;;1002.4;1.4;5.9;5;21.2;5.8;20.9;0;1.9;16.4;0;36;306;;;;33;7;0.5;0;171;14.7;6.7;16.4;;;
LUZ;29.01.2025 00:00;6;10.2;1;3.8;16.1;-4.2;69.5;6.3;957.2;1011.6;;;1010.7;2.1;14.2;7.6;51.1;13.8;49.7;0;0;0.4;0;95;270;;;;397;84;0.8;0;261;14;6;0.2;;;
LUZ;30.01.2025 00:00;4.7;9.2;0.3;3.2;15.3;-2.9;77.6;6.6;963.2;1018.2;;;1016.9;1.1;5;4;18;5;18;0;1;0.1;0;68;297;;;;46;10;0.5;0;342;15.3;7.3;0;;;
LUZ;31.01.2025 00:00;4.2;5.3;3.3;3.5;5.7;2.3;88.9;7.3;972;1027.6;;;1026.1;1.2;6.9;4.3;24.8;6.8;24.5;0;5.2;6.1;0;15;325;;;;0;0;0.5;0;326;15.8;7.8;6.1;;;
LUZ;01.02.2025 00:00;2.2;3.3;1.5;2;5.1;0.9;84.5;6.1;971.6;1027.6;;;1025.7;1.6;4.6;5.8;16.6;4.5;16.2;0;0;0;0;22;314;;;;0;0;0.5;0;339;17.8;9.8;0;;;
LUZ;02.02.2025 00:00;2.2;3;1.6;2.1;4.1;1.1;83.1;5.9;969;1024.9;;;1023;1.2;3.8;4.3;13.7;3.7;13.3;0;0;0;0;23;314;;;;0;0;0.5;0;9;17.8;9.8;0;;;
LUZ;03.02.2025 00:00;2.1;3;1.4;2.1;5.1;0.7;79.5;5.7;972.2;1028.3;;;1026.3;1.1;3.9;4;14;3.8;13.7;0;0;0;0;31;312;;;;0;0;0.5;0;45;17.9;9.9;0;;;
LUZ;04.02.2025 00:00;0.8;4;-2;0.1;10.2;-6.6;82;5.3;975.1;1031.7;;;1029.3;1.1;4.1;4;14.8;4.1;14.8;0;0;0;0;81;267;;;;223;45;0.4;0;288;19.2;11.2;-0.1;;;
LUZ;05.02.2025 00:00;-0.5;0.6;-2.2;-0.4;3.8;-6.7;90.4;5.3;981.5;1038.7;;;1036;1;4.6;3.6;16.6;4.5;16.2;0;0;0;0;40;301;;;;0;0;0.4;0;315;20.5;12.5;0;;;
LUZ;06.02.2025 00:00;0.7;1.7;-0.6;0.3;2.6;-0.9;78.9;5.1;978.4;1035.1;;;1032.8;1.1;4.2;4;15.1;4.1;14.8;0;0;0;0;19;306;;;;0;0;0.5;0;171;19.3;11.3;-0.1;;;
LUZ;07.02.2025 00:00;1.7;5.3;-1.2;0.7;11.2;-5.6;78.2;5.4;968.5;1024.5;;;1022.5;0.9;3.7;3.2;13.3;3.7;13.3;0;0;0;0;75;276;;;;201;40;0.5;0;301;18.3;10.3;-0.1;;;
LUZ;08.02.2025 00:00;1.4;7.1;-2;-0.6;11.7;-6;83;5.6;967;1022.9;;;1020.9;0.9;4.4;3.2;15.8;4.3;15.5;0;0;0;0;71;263;;;;186;36;0.6;0;360;18.6;10.6;-0.1;;;
LUZ;09.02.2025 00:00;3.4;8.1;0.3;2.1;14.2;-3.5;80.5;6.3;971.5;1027.3;;;1025.6;1.1;6;4;21.6;5.7;20.5;0;0;0;0;94;275;;;;330;64;0.6;0;297;16.6;8.6;-0.2;;;
