"Jahr";"Lebendgeburten im Januar";"Lebendgeburten im Februar";"Lebendgeburten im März";"Lebendgeburten im April";"Lebendgeburten im Mai";"Lebendgeburten im Juni";"Lebendgeburten im Juli";"Lebendgeburten im August";"Lebendgeburten im September";"Lebendgeburten im Oktober";"Lebendgeburten im November";"Lebendgeburten im Dezember"
"1925";6004;6152;6766;6336;6477;6069;6122;6198;5716;5761;5365;5604
"1926";5917;5833;6901;6271;6350;6096;6145;5925;5891;5597;5408;5784
"1927";6190;5769;6481;6200;6256;5934;5973;5731;5281;4888;5080;5750
"1928";5970;6145;6342;6038;6129;5787;5998;5693;5436;5397;5176;5483
"1929";5810;5818;6382;5993;6258;5608;5860;5739;5548;5422;5173;5395
"1930";5673;5857;6315;6119;6099;5946;5919;6016;5512;5553;5228;5618
"1931";5673;5857;6315;6119;6099;5713;5827;5716;5358;5238;4870;5413
"1932";5673;5857;6315;6119;6099;5740;5900;5755;5389;5447;4968;5081
"1933";5752;5584;6324;5867;6149;5533;5720;5650;5409;5280;4966;5275
"1934";5633;5412;6135;6073;5880;5427;5806;5570;5309;5308;5234;5490
"1935";5914;5621;6165;5719;6052;5747;5655;5552;5322;5157;4596;4878
"1936";5485;5608;6302;5769;5814;5358;5373;5283;5120;4978;4796;5080
"1937";5294;5236;5553;5575;5680;5158;5293;5062;5022;4979;4736;4892
"1938";5399;5355;5951;5671;5798;5394;5402;5189;5001;4878;4700;5052
"1939";5218;5269;5963;5837;5798;5369;5502;5328;5055;4998;4627;4873
"1940";5659;5634;6039;6024;5604;4579;4964;5054;5352;5065;4805;5336
"1941";5595;4545;6206;6635;6826;6451;6240;6150;5904;5586;5667;6121
"1942";6425;6190;6961;6732;7002;6595;6627;6795;6570;6316;6036;6626
"1943";6987;6989;7721;7134;7414;6828;6944;6356;6724;6693;6505;6754
"1944";7317;7683;8054;7448;7525;6912;7047;7118;6854;6736;6222;6711
"1945";7667;7465;8138;7891;7915;7044;7410;7051;7093;7173;6675;7000
"1946";7491;7743;8481;8042;8040;7453;7655;7123;6881;6942;6430;6845
"1947";7483;7519;8169;7873;8024;7442;7444;6911;6912;6755;6379;6813
"1948";7500;7604;8121;8014;7749;7344;7499;6985;6901;6615;6458;6973
"1949";7494;7180;7870;7639;7558;7164;7407;6938;6629;6541;6397;6491
"1950";7161;7033;8004;7757;7653;6877;7075;6845;6708;6745;6224;6694
"1951";6946;7015;7690;7213;7418;6727;6911;6695;6526;6488;5951;6323
"1952";6894;7109;7837;7376;7614;6870;6745;6881;6814;6530;6335;6544
"1953";7090;6966;7846;7359;7424;6836;7141;6860;6722;6441;5973;6371
"1954";6996;7059;7580;7569;7541;7052;7165;6965;6533;6606;6192;6483
"1955";7242;6953;8048;7593;7669;7031;7180;7169;6840;6753;6281;6572
"1956";7260;7646;8350;7709;8016;7314;7409;7279;7026;6797;6391;6715
"1957";7472;7635;8429;8088;8022;7483;7523;7368;7422;7352;6851;7178
"1958";7749;7701;8766;8164;8144;7577;7079;6861;7208;7392;7191;7589
"1959";8083;7800;8883;8289;8174;7596;7896;7551;7317;7283;6897;7204
"1960";7824;7973;8723;8125;8492;7991;8170;7928;7618;7298;6917;7313
"1961";8230;8050;8990;8789;8692;8381;8368;8317;7747;8063;7651;7960
"1962";8504;8497;9443;9015;9221;8763;8746;8753;8688;8515;8082;8095
"1963";8875;8955;10017;10010;9892;9155;9512;9069;9040;8835;8127;8506
"1964";9208;9513;10352;9862;9866;9384;9653;9015;9262;9138;8577;9060
"1965";9506;9219;10506;9985;9862;9422;9247;9166;9097;9045;8336;8444
"1966";9322;8879;10183;9710;10079;9284;9468;8927;8714;8836;8146;8190
"1967";8844;8730;9938;9670;9820;9155;9045;8780;8474;8594;8092;8275
"1968";8940;8781;9787;9421;9443;8901;8913;8477;8461;8157;7807;8042
"1969";8888;8442;9570;9309;9353;8738;8700;8242;8120;7974;7500;7684
"1970";8402;8010;9095;8794;8962;8727;8670;8009;7840;7474;7392;7841
"1971";8219;7723;9045;8726;8671;8354;8344;7720;7667;7512;7154;7126
"1972";7759;7717;8559;8192;8300;8006;7861;7476;7006;6858;6662;6946
"1973";7462;6860;8074;7813;8089;7425;7687;7231;6921;6845;6442;6669
"1974";7088;6676;7743;7515;7751;7083;7530;7007;6875;6734;6164;6341
"1975";6959;6581;7440;7217;7249;6797;6774;6053;6028;5765;5624;5977
"1976";6195;6352;6751;6482;6713;6663;6259;6109;6038;5606;5443;5588
"1977";6192;5907;6773;6370;6759;6379;6023;5940;5814;5770;5342;5560
"1978";6001;5688;6575;6390;6560;6252;6086;5675;5753;5628;5267;5500
"1979";6019;5654;6396;6497;6592;6195;6419;5836;5898;5640;5285;5555
"1980";6241;5999;6428;6353;6534;6261;6460;5920;6177;5933;5603;5752
"1981";6140;5829;6463;6438;6549;6320;6269;6180;6287;5888;5567;5817
"1982";6138;6001;6693;6594;6591;6211;6447;6377;6222;6049;5842;5751
"1983";6311;5974;6485;6144;6671;6163;6376;6231;6181;6035;5375;5713
"1984";6323;5998;6560;6039;6518;6282;6578;6298;6200;6176;5929;5809
"1985";6326;5774;6801;6452;6564;6148;6568;6199;6288;6196;5698;5670
"1986";6367;6038;6635;6655;6681;6425;6582;6558;6500;6106;5693;6080
"1987";6228;5780;6518;6609;6617;6643;6698;6326;6578;6261;6015;6232
"1988";6445;6471;7222;6511;6822;6651;6791;7013;6975;6665;6246;6533
"1989";6577;6100;7039;6751;7113;6962;7219;6900;6759;6503;6517;6740
"1990";6906;6506;7240;6958;7312;6987;7361;7067;7237;6956;6647;6762
"1991";6964;6641;7329;7271;7449;7162;7614;7179;7625;7026;6805;7135
"1992";7336;7037;7556;7397;7451;7195;7640;7176;7498;7068;6669;6887
"1993";7114;6646;7377;7187;6996;7113;7327;7120;7114;6817;6409;6542
"1994";6788;6553;7284;7039;7188;7028;7197;7060;6908;6745;6328;6862
"1995";6859;6377;7107;6585;7045;6878;7293;6988;7148;6997;6343;6583
"1996";6933;6711;6985;6726;7163;6961;7462;7039;6962;6818;6504;6743
"1997";6963;6293;6650;6918;6978;6859;7242;6714;6867;6527;6049;6524
"1998";6705;6056;6670;6764;6687;6531;6978;6841;6750;6498;6215;6254
"1999";6478;6181;6765;6523;6503;6649;6842;6867;6802;6375;6136;6287
"2000";6731;6329;6778;6538;6651;6456;6678;6725;6739;6263;6265;6305
"2001";6176;5581;6097;6071;6375;5991;6518;6173;6232;5886;5644;5551
"2002";5973;5590;6092;6066;6030;5932;6347;6351;6285;6210;5738;5758
"2003";6188;5441;5921;5876;6213;6057;6425;6019;6281;5955;5650;5822
"2004";6136;5582;5915;5833;6150;6221;6526;6399;6297;5954;6043;6026
"2005";5892;5670;5971;5949;6209;6147;6323;6330;6354;6140;5861;6057
"2006";6079;5625;6060;5800;6264;6187;6417;6327;6478;6376;5803;5955
"2007";6116;5480;6142;5983;6338;6133;6666;6665;6520;6361;5997;6093
"2008";6457;6091;6184;6364;6580;6528;6953;6457;6562;6326;5920;6269
"2009";6444;5834;6458;6499;6633;6576;6953;6886;6907;6396;6182;6518
"2010";6680;6095;6700;6379;6610;6744;6986;6843;7006;7106;6507;6634
"2011";6646;6131;6603;6492;6987;6922;7341;6943;7070;6767;6500;6406
"2012";6808;6413;6677;6518;6826;6811;7433;7278;7236;6993;6568;6603
"2013";6721;6091;6813;6594;7088;6853;7587;7358;7256;7098;6476;6796
"2014";7068;6404;6896;6902;7225;7153;7631;7382;7579;7373;6825;6849
"2015";7169;6402;7153;6984;7358;7436;7596;7506;7826;7298;6860;6971
"2016";7193;6791;7361;6830;7490;7489;7981;7749;7880;7354;6798;6967
"2017";7078;6610;7184;7059;7604;7369;7802;7659;7508;7447;7001;7060
"2018";7254;6512;7169;7014;7494;7521;8071;8054;7644;7365;6962;6791
"2019";7246;6398;7031;7124;7439;7332;7902;7485;7418;7168;6826;6803
"2020";7108;6738;7071;7060;7369;7324;7810;7375;7440;7250;6494;6875
"2021";7439;6876;7536;7269;7449;7428;7957;7831;7874;7842;7165;6978
"2022";6933;6072;6679;6738;7064;7145;7428;7313;7115;6909;6422;6553
"2023";6524;6059;6691;6424;7044;6994;7081;6901;6736;6823;6428;6319
"2024";6458;6195;6536;6410;6635;6449;6927;6851;6701;6660;6241;6193
