"CubeId";"gdpap"
"PublishingDate";"2025-11-21 09:00"

"Date";"D0";"D1";"Value"
"1980-Q1";"WMF";"PHPOE";"29487.04115486"
"1980-Q1";"WMF";"S";"4786.57714573"
"1980-Q1";"WMF";"T0";"34273.61830059"
"1980-Q1";"WMF";"B";"6101.32195735"
"1980-Q1";"WMF";"A";"9335.30174324"
"1980-Q1";"WMF";"T1";"15436.62370059"
"1980-Q1";"WMF";"T2";"17531.76501136"
"1980-Q1";"WMF";"WG0";"12446.21353581"
"1980-Q1";"WMF";"D0";"5460.44635945"
"1980-Q1";"WMF";"D0S";"5460.44635945"
"1980-Q1";"WMF";"T3";"22992.21137081"
"1980-Q1";"WMF";"T3S";"22992.21137081"
"1980-Q1";"WMF";"T4";"22485.27229795"
"1980-Q1";"WMF";"WG1";"15425.85444945"
"1980-Q1";"WMF";"D2";"4142.25757675"
"1980-Q1";"WMF";"D2S";"4142.25757675"
"1980-Q1";"WMF";"T5";"26627.5298747"
"1980-Q1";"WMF";"T5S";"26627.5298747"
"1980-Q1";"WMF";"BBIP";"50870.61803883"
"1980-Q1";"WMF";"BBIPS";"50870.61803883"
"1980-Q1";"VVP";"PHPOE";
"1980-Q1";"VVP";"S";
"1980-Q1";"VVP";"T0";
"1980-Q1";"VVP";"B";
"1980-Q1";"VVP";"A";
"1980-Q1";"VVP";"T1";
"1980-Q1";"VVP";"T2";
"1980-Q1";"VVP";"WG0";
"1980-Q1";"VVP";"D0";
"1980-Q1";"VVP";"D0S";
"1980-Q1";"VVP";"T3";
"1980-Q1";"VVP";"T3S";
"1980-Q1";"VVP";"T4";
"1980-Q1";"VVP";"WG1";
"1980-Q1";"VVP";"D2";
"1980-Q1";"VVP";"D2S";
"1980-Q1";"VVP";"T5";
"1980-Q1";"VVP";"T5S";
"1980-Q1";"VVP";"BBIP";
"1980-Q1";"VVP";"BBIPS";
"1980-Q2";"WMF";"PHPOE";"29775.80557045"
"1980-Q2";"WMF";"S";"4910.74174544"
"1980-Q2";"WMF";"T0";"34686.54731589"
"1980-Q2";"WMF";"B";"6412.51948686"
"1980-Q2";"WMF";"A";"9142.55150874"
