"CubeId";"gdpap"
"PublishingDate";"2025-11-21 09:00"

"Date";"D0";"D1";"Value"
"2021-Q1";"WMF";"BBIPS";"183722.02780363"
"2021-Q1";"VVP";"BBIPS";"1.07085327"
"2021-Q2";"WMF";"BBIPS";"190172.77348084"
"2021-Q2";"VVP";"BBIPS";"3.51114439"
"2021-Q3";"WMF";"BBIPS";"195037.44663435"
"2021-Q3";"VVP";"BBIPS";"2.55802819"
"2021-Q4";"WMF";"BBIPS";"198121.37390613"
"2021-Q4";"VVP";"BBIPS";"1.58119752"
"2022-Q1";"WMF";"BBIPS";"201191.78057888"
"2022-Q1";"VVP";"BBIPS";"1.54976044"
"2022-Q2";"WMF";"BBIPS";"203800.5248202"
"2022-Q2";"VVP";"BBIPS";"1.29664554"
"2022-Q3";"WMF";"BBIPS";"205859.03599701"
"2022-Q3";"VVP";"BBIPS";"1.01006176"
"2022-Q4";"WMF";"BBIPS";"207057.09043989"
"2022-Q4";"VVP";"BBIPS";"0.58197807"
"2023-Q1";"WMF";"BBIPS";"209103.54125173"
"2023-Q1";"VVP";"BBIPS";"0.98835099"
"2023-Q2";"WMF";"BBIPS";"208208.55079489"
"2023-Q2";"VVP";"BBIPS";"-0.42801306"
"2023-Q3";"WMF";"BBIPS";"208829.43655823"
"2023-Q3";"VVP";"BBIPS";"0.29820378"
"2023-Q4";"WMF";"BBIPS";"209697.49009552"
"2023-Q4";"VVP";"BBIPS";"0.41567585"
"2024-Q1";"WMF";"BBIPS";"210788.87335244"
"2024-Q1";"VVP";"BBIPS";"0.52045604"
"2024-Q2";"WMF";"BBIPS";"213016.60568131"
"2024-Q2";"VVP";"BBIPS";"1.0568548"
"2024-Q3";"WMF";"BBIPS";"214315.62090795"
"2024-Q3";"VVP";"BBIPS";"0.60981876"
"2024-Q4";"WMF";"BBIPS";"215532.03000481"
"2024-Q4";"VVP";"BBIPS";"0.56757836"
"2025-Q1";"WMF";"BBIPS";"217770.17228502"
"2025-Q1";"VVP";"BBIPS";"1.03842676"
"2025-Q2";"WMF";"BBIPS";"217903.2162187"
"2025-Q2";"VVP";"BBIPS";"0.06109374"
